Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
70,-2.61633e-05,7.89557e-06,0,2.13287e-05,3.03682e-05,2.03504e-06
71,-1.96116e-05,5.42988e-06,0,-3.26071e-05,3.63982e-05,4.77304e-06
72,-9.79916e-06,7.33998e-06,0,-2.36385e-05,3.02006e-05,1.16774e-05
73,-6.56517e-06,9.84579e-06,0,4.74091e-05,1.40622e-05,1.53573e-05
74,-1.1442e-05,1.0986e-05,0,0.000121573,-7.16059e-06,1.6189e-05
75,-2.31341e-05,1.2515e-05,0,0.000113225,-2.75146e-05,1.51421e-05
76,-3.20064e-05,1.27014e-05,0,3.53563e-05,-4.35031e-05,1.27826e-05
77,-2.6426e-05,1.09662e-05,0,-1.16708e-05,-5.6645e-05,1.28309e-05
78,-1.21025e-05,1.03215e-05,0,-4.7464e-06,-6.65352e-05,1.63257e-05
79,-5.02277e-06,1.15652e-05,0,5.90437e-05,-6.70591e-05,1.91358e-05
80,-8.76412e-06,1.37002e-05,0,0.000140773,-5.57756e-05,1.91966e-05
81,-2.22374e-05,1.4283e-05,0,0.000142233,-3.92858e-05,1.31918e-05
82,-3.02398e-05,1.11845e-05,0,6.21116e-05,-2.67995e-05,6.25431e-06
83,-1.51419e-05,8.89841e-06,0,9.05383e-06,-1.93528e-05,6.67903e-06
84,1.37944e-06,1.30134e-05,0,1.49082e-05,-1.51723e-05,8.71822e-06
85,3.70182e-06,1.82659e-05,0,3.27615e-05,-1.49455e-05,9.18717e-06
86,5.79451e-06,1.89216e-05,0,2.50645e-05,-1.6613e-05,1.1976e-05
87,1.12584e-05,1.77207e-05,0,3.31353e-05,-1.7467e-05,1.70929e-05
88,1.43196e-05,1.84035e-05,0,9.10949e-05,-1.40114e-05,1.96776e-05
89,7.18406e-06,2.06217e-05,0,0.000138597,-9.75034e-06,1.73341e-05
90,-9.06372e-06,1.94135e-05,0,9.52369e-05,-7.77971e-06,1.27711e-05
91,-1.64562e-05,1.4901e-05,0,2.00792e-05,-6.63686e-06,1.06556e-05
92,-5.9101e-06,1.21909e-05,0,-2.01065e-05,-6.556e-06,1.46859e-05
93,7.68231e-06,1.31253e-05,0,-2.88092e-06,-8.76213e-06,2.21542e-05
94,1.36566e-05,1.63325e-05,0,7.59762e-05,-1.07167e-05,2.70239e-05
95,9.28813e-06,1.86663e-05,0,0.0001494,-1.03212e-05,2.42084e-05
96,-3.9223e-06,1.68839e-05,0,0.000132702,-9.12528e-06,1.52335e-05
97,-1.53137e-05,1.1889e-05,0,5.50124e-05,-8.03104e-06,8.39136e-06
98,-1.3925e-05,8.91812e-06,0,-2.71205e-06,-7.00476e-06,9.98998e-06
99,-6.11908e-06,1.00689e-05,0,-1.19495e-05,-5.9895e-06,1.60716e-05
100,-3.30525e-06,1.30866e-05,0,4.17108e-05,-5.69217e-06,1.81709e-05
101,-7.67879e-06,1.47564e-05,0,0.000116084,-5.93527e-06,1.28118e-05
102,-1.58853e-05,1.37707e-05,0,0.000117816,-6.29644e-06,4.80644e-06
103,-1.7028e-05,1.21255e-05,0,4.12698e-05,-5.06322e-06,3.04917e-06
104,-4.74307e-06,1.01443e-05,0,-1.91633e-05,3.4585e-06,9.79772e-06
105,9.6342e-06,8.5383e-06,0,-2.93815e-05,3.33568e-05,1.73445e-05
106,1.35266e-05,1.04625e-05,0,2.62879e-05,8.60529e-05,1.89361e-05
107,7.81142e-06,1.32805e-05,0,0.000110082,0.000134156,1.54005e-05
108,-1.10565e-05,1.3585e-05,0,0.000114094,0.000153196,9.52273e-06
109,-3.05718e-05,1.2235e-05,0,2.69657e-05,0.000144646,6.66672e-06
110,-3.01198e-05,1.08415e-05,0,-3.165e-05,0.000114703,8.60339e-06
111,-2.03795e-05,8.90204e-06,0,-1.07151e-05,7.31152e-05,1.19733e-05
112,-1.61522e-05,6.58342e-06,0,1.95212e-05,1.98857e-05,1.55216e-05
113,-1.0049e-05,6.87983e-06,0,3.40939e-06,-4.6138e-05,1.87269e-05
114,-3.00222e-06,8.51064e-06,0,4.06445e-06,-0.000110192,1.82363e-05
115,-1.53209e-06,8.96681e-06,0,7.05117e-05,-0.000159743,1.6779e-05
116,-7.32124e-06,8.75621e-06,0,0.000136521,-0.000187289,1.53667e-05
117,-2.30185e-05,6.30459e-06,0,0.000106402,-0.000193557,1.23572e-05
118,-3.33809e-05,2.28774e-06,0,3.86303e-05,-0.000177518,1.19124e-05
119,-2.68684e-05,1.5937e-07,0,2.16721e-06,-0.000139183,1.49359e-05
120,-1.23946e-05,5.31542e-07,0,1.89701e-05,-8.75887e-05,1.84727e-05
121,-2.59468e-06,4.16276e-06,0,9.02879e-05,-3.80561e-05,1.91653e-05
122,-4.09482e-06,1.04959e-05,0,0.000152537,-3.18885e-06,1.50738e-05
123,-1.29688e-05,1.45025e-05,0,0.000125584,1.29176e-05,8.44039e-06
124,-1.70529e-05,1.4537e-05,0,3.88537e-05,1.37486e-05,6.18955e-06
125,-8.56736e-06,1.28225e-05,0,-2.12318e-05,6.37873e-06,1.14268e-05
126,4.77829e-06,1.14975e-05,0,-2.15113e-05,-3.96062e-06,1.81124e-05
127,1.09653e-05,1.19885e-05,0,4.08507e-05,-1.43985e-05,2.01026e-05
128,5.16805e-06,1.36361e-05,0,0.000110351,-2.38886e-05,1.82155e-05
129,-8.36739e-06,1.41534e-05,0,0.000103936,-3.03893e-05,1.58584e-05
130,-1.67308e-05,1.31423e-05,0,2.63115e-05,-3.3283e-05,1.45529e-05
131,-7.36798e-06,1.24656e-05,0,-2.77012e-05,-3.3337e-05,1.55292e-05
132,9.59891e-06,1.38494e-05,0,-3.02365e-05,-3.13672e-05,1.73974e-05
133,1.7164e-05,1.55325e-05,0,2.68224e-05,-2.7307e-05,1.80244e-05
134,1.40418e-05,1.58653e-05,0,0.000106939,-1.75695e-05,1.75452e-05
135,1.49655e-06,1.7299e-05,0,0.000113604,-4.07095e-06,1.20012e-05
136,-1.30344e-05,1.89806e-05,0,4.09971e-05,2.36416e-06,5.05007e-06
137,-1.388e-05,2.16749e-05,0,-1.79324e-06,-1.43384e-06,5.51823e-06
138,-4.36489e-06,2.36146e-05,0,1.4962e-05,-7.52049e-06,8.7902e-06
139,1.17758e-06,2.41425e-05,0,3.34135e-05,-8.60137e-06,8.69088e-06
140,3.25696e-06,2.4592e-05,0,1.81505e-05,-6.2316e-06,5.51695e-06
141,6.43927e-06,2.38703e-05,0,2.19461e-05,-2.52002e-06,3.88807e-06
142,9.37951e-06,2.28629e-05,0,8.56352e-05,6.68324e-06,5.19317e-06
143,5.04994e-06,2.2331e-05,0,0.000143536,1.82606e-05,3.04066e-06
144,-1.02089e-05,2.0926e-05,0,0.000106864,2.65695e-05,-3.29452e-06
145,-2.26471e-05,1.71224e-05,0,3.30804e-05,3.44485e-05,-4.76017e-06
146,-1.90219e-05,1.57084e-05,0,-7.40234e-06,4.21391e-05,2.56205e-06
147,-6.94485e-06,1.69691e-05,0,7.73978e-06,4.39892e-05,1.14903e-05
148,1.61428e-06,1.7038e-05,0,8.04038e-05,3.64507e-05,1.68387e-05
149,-9.95142e-07,1.41288e-05,0,0.00014485,2.44511e-05,1.65063e-05
150,-1.24272e-05,9.61761e-06,0,0.000122729,1.55697e-05,1.13474e-05
151,-1.89713e-05,7.4055e-06,0,5.10338e-05,1.20687e-05,6.96379e-06
152,-1.23522e-05,9.15019e-06,0,1.01072e-05,1.04531e-05,8.36402e-06
153,-2.32263e-07,1.26551e-05,0,2.12279e-05,6.45333e-06,1.42893e-05
154,6.17771e-06,1.55519e-05,0,8.3161e-05,1.27897e-06,2.03126e-05
155,1.99867e-06,1.62282e-05,0,0.000143826,-1.63666e-06,2.37994e-05
156,-1.06405e-05,1.35149e-05,0,0.000120972,-3.61858e-07,2.30557e-05
157,-1.78676e-05,1.1511e-05,0,2.99693e-05,4.17305e-06,1.91092e-05
158,-8.58097e-06,1.31207e-05,0,-2.64219e-05,9.19783e-06,1.57387e-05
159,5.56944e-06,1.47764e-05,0,-2.38125e-05,1.08106e-05,1.46019e-05
160,1.02954e-05,1.45787e-05,0,3.81334e-05,7.02077e-06,1.41629e-05
161,5.81758e-06,1.44468e-05,0,0.000112167,1.25432e-06,1.20722e-05
162,-5.75449e-06,1.43771e-05,0,9.90243e-05,-3.6451e-06,6.7476e-06
163,-1.51951e-05,1.37627e-05,0,6.24549e-06,-9.14101e-06,1.43478e-06
164,-8.2276e-06,1.14276e-05,0,-4.62088e-05,-1.38726e-05,4.45898e-06
165,3.42673e-06,8.40938e-06,0,-2.23385e-05,-1.2669e-05,1.33381e-05
166,4.35136e-06,6.16673e-06,0,9.05239e-06,-7.26363e-06,1.66495e-05
167,2.99129e-06,4.5935e-06,0,-5.01639e-07,-4.51737e-06,1.49768e-05
168,5.11608e-06,4.61109e-06,0,-2.92195e-07,-5.00049e-06,1.19567e-05
169,7.00756e-06,6.44838e-06,0,5.49782e-05,-6.91178e-06,9.76895e-06
170,8.88772e-07,8.29953e-06,0,0.000110231,-8.98231e-06,9.49532e-06
171,-1.252e-05,9.29317e-06,0,7.6514e-05,-1.10804e-05,1.09687e-05
172,-1.83094e-05,9.40136e-06,0,8.41109e-06,-1.41117e-05,1.57856e-05
173,-8.31159e-06,9.95456e-06,0,-3.08257e-05,-1.816e-05,2.17297e-05
174,3.41722e-06,1.12117e-05,0,-1.68324e-05,-2.0735e-05,2.41514e-05
175,5.34821e-06,1.31742e-05,0,5.74041e-05,-1.93223e-05,2.2806e-05
176,-9.50768e-07,1.55974e-05,0,0.000130293,-1.37671e-05,1.94923e-05
177,-1.09977e-05,1.49772e-05,0,0.000116884,-8.19957e-06,1.50277e-05
178,-1.57331e-05,1.19872e-05,0,4.21648e-05,-6.74373e-06,1.05602e-05
179,-7.77143e-06,9.6562e-06,0,-9.30886e-06,6.51109e-07,7.6605e-06
180,5.3533e-06,9.25615e-06,0,-4.31519e-06,2.77919e-05,8.63002e-06
181,1.2285e-05,8.81283e-06,0,6.00926e-05,6.76393e-05,1.29137e-05
182,1.09751e-05,8.19701e-06,0,0.000131452,9.43173e-05,1.55222e-05
183,2.85363e-06,8.75465e-06,0,0.000125704,9.08191e-05,1.40378e-05
184,-3.34586e-06,9.8375e-06,0,5.05488e-05,5.94018e-05,1.53336e-05
185,2.6164e-06,1.03398e-05,0,6.65728e-07,1.16351e-05,2.35462e-05
186,1.53118e-05,1.05584e-05,0,3.34713e-06,-3.92763e-05,2.89697e-05
187,2.1492e-05,1.17031e-05,0,6.74753e-05,-8.2328e-05,2.46864e-05
188,1.76731e-05,1.41272e-05,0,0.000151728,-0.000108125,1.69515e-05
189,2.21368e-06,1.50323e-05,0,0.000152566,-0.000111697,1.07096e-05
190,-1.33508e-05,1.534e-05,0,6.31539e-05,-9.96067e-05,8.03024e-06
191,-4.89237e-06,1.76444e-05,0,4.33662e-06,-7.88835e-05,9.92208e-06
192,1.4979e-05,1.95341e-05,0,1.53749e-05,-6.01683e-05,1.2474e-05
193,2.09849e-05,1.91838e-05,0,3.17352e-05,-5.17469e-05,1.44476e-05
194,1.86139e-05,1.49239e-05,0,8.84372e-06,-4.64298e-05,1.57077e-05
195,1.4766e-05,1.00759e-05,0,2.99429e-06,-3.59231e-05,1.36605e-05
