Time_Index,DELTOID_Affected,DELTOID_NonAffected,BICEPS_Affected,BICEPS_NonAffected,FOREARM_Affected,FOREARM_NonAffected
69,4.75228e-06,1.20027e-05,0,-6.527e-06,-1.87917e-05,1.30306e-05
70,6.60348e-06,1.27647e-05,0,6.53235e-05,-2.09249e-05,1.56948e-05
71,9.8923e-08,1.36309e-05,0,0.000167915,-2.06641e-05,1.85468e-05
72,-1.34717e-05,1.4747e-05,0,0.000197923,-2.18845e-05,1.88274e-05
73,-2.72766e-05,1.34356e-05,0,0.000126541,-2.37612e-05,1.60992e-05
74,-2.99798e-05,8.7428e-06,0,5.10938e-05,-2.30169e-05,1.43675e-05
75,-1.87522e-05,4.36623e-06,0,3.40101e-05,-1.76618e-05,1.58386e-05
76,-5.29971e-06,4.23335e-06,0,7.81271e-05,-8.65602e-06,1.76947e-05
77,-8.40999e-07,7.9849e-06,0,0.000153212,4.38876e-07,1.79193e-05
78,-1.08753e-05,1.18176e-05,0,0.00016736,3.91308e-06,1.57643e-05
79,-2.96299e-05,1.27495e-05,0,8.67808e-05,-8.60559e-08,1.08338e-05
80,-3.45514e-05,1.25764e-05,0,1.10611e-05,-6.55684e-06,9.4501e-06
81,-2.18547e-05,1.50447e-05,0,1.20596e-05,-1.09573e-05,1.43249e-05
82,-1.2368e-05,1.87272e-05,0,4.45848e-05,-1.20812e-05,1.899e-05
83,-1.06991e-05,1.9349e-05,0,4.45446e-05,-9.5196e-06,2.08387e-05
84,-8.53316e-06,1.69384e-05,0,3.83717e-05,-2.10748e-06,2.13996e-05
85,-3.49531e-06,1.35891e-05,0,8.41802e-05,7.12835e-06,2.17665e-05
86,-7.40838e-07,1.13313e-05,0,0.000145865,1.23729e-05,2.04711e-05
87,-7.53198e-06,1.09995e-05,0,0.000131056,1.17749e-05,1.57382e-05
88,-1.70729e-05,1.10036e-05,0,6.00032e-05,7.22543e-06,1.02799e-05
89,-1.44218e-05,9.60123e-06,0,1.57148e-05,1.78217e-06,7.48043e-06
90,-1.94834e-06,8.6209e-06,0,2.68653e-05,-2.62124e-06,6.46298e-06
91,5.02484e-06,1.08633e-05,0,9.18412e-05,-3.80081e-06,6.75429e-06
92,-7.7009e-07,1.45777e-05,0,0.000162508,-2.57138e-06,6.67012e-06
